XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r415490,Sristi SR Haven,"Perumbakkam, Chennai",Price on Request,N/A,New Launch,"2, 3 BHK",1038 Sq. Ft to 1730 Sq. Ft (Saleable),SRISTI Builders And Developers,90 units,1.44 Acres,Ask for Details,Ask for Details,Perumbakkam,Chennai South,,https://www.squareyards.com/sristi-builders-and-developers-projects/25923/builder,N/A,1,1,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Indoor Games
r398157,AMI Jharna,"Goregaon East, Mumbai",Price on Request,N/A,Ready to Move,"1, 2 BHK",504 Sq. Ft to 780 Sq. Ft (Saleable),Neha Group,56 units,1 Acres,Ask for Details,Ask for Details,Goregaon East,Mumbai Western Suburbs,,https://www.squareyards.com/neha-group-projects/5229/builder,N/A,10,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,N/A
r1030,M3M Golf Estate,"Sector 65, Gurgaon",Rs4.46 Cr - 8.70 Cr,"Rs13,950 Per Sq. Ft",Ready to Move,"3, 4, 5 BHK",3005 Sq. Ft to 5900 Sq. Ft (Saleable),M3M,2250 units,56 Acres,Ask for Details,"Sep 30, 2018",Sector 65,Golf Course Extension,,https://www.squareyards.com/m3m-projects/67/builder,12 Years Experience,10,44,660/2017/307,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: Seismic Zone V Compliant",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Course,Power Backup; Treated Water Supply; Medical Facility; Pet Area; Car Washing Bays; Laundromat; 24*7 Water Supply; ATM's; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
r433864,Purva Park Hill,"Kanakapura Road, Bangalore",Rs2.05 Cr - 2.27 Cr,N/A,Mid Stage,"2, 3 BHK",1360 Sq. Ft to 1938 Sq. Ft (Saleable),Puravankara,1589 units,17.3 Acres,Ask for Details,Ask for Details,Kanakapura Road,South Bangalore,,https://www.squareyards.com/puravankara-projects/486/builder,44 Years Experience,8,118,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Rappelling/Rock Climbing; Beach Volleyball,Power Backup; Home Automation; Treated Water Supply; Medical Facility; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Massage Room; Dance Room; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Senior Citizen Area
r426150,Vaswani Exquisite,"Whitefield, Bangalore",Rs2.78 Cr - 4.33 Cr,"Rs8,223 Per Sq. Ft",Ready to Move,"3, 4 BHK",1830 Sq. Ft to 2850 Sq. Ft (Saleable),Vaswani,388 units,4.5 Acres,Ask for Details,"Dec 16, 2021",Whitefield,East Bangalore,,https://www.squareyards.com/vaswani-projects/560/builder,33 Years Experience,2,38,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Clubhouse; Indoor Games
r61839,Mahidhara Fortune City,"Attibele, Bangalore",Price on Request,N/A,Ready to Move,Ask for Details,2000 Sq. Ft to 2400 Sq. Ft (BuiltUp),Mahidhara Projects Private Limited,619 units,103 Acres,Ask for Details,Ask for Details,Attibele,South Bangalore,"Strategically located on Anekal Road, Attibele, Bangalore.,Enjoy seamless connectivity to Anekal Road at 1.7 km.,Preliminary amenities include power backup and kids ' play areas.,Well-designed apartments with oil bound distemper walls and vitrified flooring.,Attractive investment opportunity for those seeking a comfortable lifestyle.",https://www.squareyards.com/mahidhara-projects-private-limited-projects/4018/builder,N/A,2,7,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security,Large Green Area,Indoor Games
r433274,Signature Global Daxin Vistas,"Bhondsi, Gurgaon",Rs1.85 Cr - 2.15 Cr,N/A,New Launch,3 BHK,1330 Sq. Ft to 1550 Sq. Ft (Saleable),Signature Global,3039 units,125.6 Acres,Ask for Details,Ask for Details,Bhondsi,Sohna Road,"Strategically located on Sohna Road, Gurgaon for connectivity.,Unparalleled access to NH 8, a major highway in Gurgaon.,Breathtaking views of surrounding landscape and greens.,Effortless connectivity to Sohna Gurgaon Road and NH 8.,Stylish apartments with premium oil-bound distemper and vitrified tiles flooring.,Provides 3 BHK apartments from 1,330 sq. ft. to 1,550 sq. ft.,Covers 125.6 acres with 3,039 units, providing for a large and properly planned community,Crafted by legendary architects Aedas and Hafeez Contractor,Includes a clubhouse, swimming pool, gymnasium, landscaped gardens, kids' play zones, and specified co-working spaces,Dedicates 2 acres to an A+ high-grade school in the community",https://www.squareyards.com/signature-global-projects/3175/builder,19 Years Experience,10,43,660/2017/307,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; Treated Water Supply; Medical Facility; Day Care Center; Laundromat; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Senior Citizen Area
r412714,DSK Chandradeep,"Mukund Nagar, Pune",Price on Request,N/A,Ready to Move,Ask for Details,Ask for Details,Ds Kulkarni,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Mukund Nagar,Pune Central,,https://www.squareyards.com/ds-kulkarni-projects/1579/builder,N/A,2,38,A51800000454,N/A,N/A,N/A,N/A,N/A,N/A
r412016,Kolte Patil Life Republic Atmos,"Hinjewadi, Pune",Rs69.00 Lac - 96.30 Lac,N/A,Under Construction,"2, 3 BHK",722 Sq. Ft to 1032 Sq. Ft (Carpet),Kolte Patil Developers Ltd,1103 units,25 Acres,Ask for Details,Ask for Details,Hinjewadi,Pune West,,https://www.squareyards.com/kolte-patil-developers-ltd-projects/457/builder,29 Years Experience,11,128,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; PNG; Solar Heaters; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Obeservatory Deck
r393052,DSR Skymarq,"Puppalaguda, Hyderabad",Rs4.60 Cr - 6.27 Cr,"Rs11,500 Per Sq. Ft",Under Construction,4 BHK,3999 Sq. Ft to 5454 Sq. Ft (Saleable),DSR Builders And Developers,644 units,7.11 Acres,Ask for Details,Ask for Details,Puppalaguda,West Zone,"Strategically located near Old Mumbai Highway and Nehru ORR.,RERA-approved project with registration number P02400005887.,Premium apartments in Puppalaguda with 99.74% occupancy.,Enjoy luxurious amenities like Power Backup and 24x7 Security.,Luxurious living with Rain Water Harvesting and Italian/Imported Marble flooring.",https://www.squareyards.com/dsr-builders-and-developers-projects/11852/builder,N/A,3,11,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; PNG; Home Automation; Treated Water Supply; Pet Area; Car Washing Bays; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Bowling; Conference Room; Spa; Luxurious Clubhouse; Senior Citizen Area
r435547,Bright Way Tejomayam Enclave,"JP Nagar, Bangalore",Price on Request,N/A,Ready to Move,2 BHK,1050 Sq. Ft (Saleable),Bright Way Properties,8 units,Ask for Details,Ask for Details,Ask for Details,JP Nagar,South Bangalore,,https://www.squareyards.com/bright-way-properties-projects/18403/builder,N/A,1,N/A,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r1646,Sagar Avenue Phase 2,"Santacruz East, Mumbai",Rs1.28 Cr - 3.33 Cr,"Rs24,127 Per Sq. Ft",Advanced Stage,"1, 2, 3 BHK",407 Sq. Ft to 1054 Sq. Ft (Carpet),Sagar Builders,147 units,2.29 Acres,Ask for Details,"Aug 17, 2019",Santacruz East,Mumbai Western Suburbs,,https://www.squareyards.com/sagar-builders-projects/1352/builder,N/A,30,N/A,A51800000454,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen; Bathroom: Geyser,Gymnasium; Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Solar Lighting,Party Hall; Clubhouse; Indoor Games
r385556,Raghuram The Vue Residences,"Puppalaguda, Hyderabad",Rs1.54 Cr - 4.07 Cr,"Rs10,250 Per Sq. Ft",Under Construction,"3, 4 BHK",1500 Sq. Ft to 3975 Sq. Ft (Saleable),Raghuram Infrastructure,2255 units,10 Acres,Ask for Details,Ask for Details,Puppalaguda,West Zone,"Strategically located near Old Mumbai Highway and Nehru Outer Ring Road.,Luxurious residences with reliable power backup,Stunning views of Puppalaguda from spacious apartments,RERA approved for added security and authenticity,Well-equipped gymnasium for a healthy lifestyle",https://www.squareyards.com/raghuram-infrastructure-projects/2402/builder,N/A,2,1,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Putting; Gazebo,Power Backup; Attached Market; Restaurant; PNG; Treated Water Supply; Pet Area; Car Washing Bays; Guest House; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Intercom Facility; Burglar Alarm,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Dance Room; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Luxurious Clubhouse; Hypermarket; Food Court; Senior Citizen Area
r399309,Lodha Giardino,"Kharadi, Pune",Rs1.15 Cr - 1.98 Cr,N/A,Partially Ready To Move,"2, 3 BHK",807 Sq. Ft to 1108 Sq. Ft (Carpet),Lodha,1139 units,14 Acres,Ask for Details,Ask for Details,Kharadi,Pune East,,https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,36,343,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Solar Heaters; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Party Hall; Clubhouse; Amphitheater; Indoor Games; Obeservatory Deck
r409341,Sumadhura Folium,"Whitefield, Bangalore",Rs72.25 Lac - 2.44 Cr,"Rs12,500 Per Sq. Ft",Under Construction,"1, 2, 3, 4 BHK",578 Sq. Ft to 1950 Sq. Ft (Saleable),Sumadhura,1700 units,16.5 Acres,Ask for Details,Ask for Details,Whitefield,East Bangalore,"Experience luxury living near NH 44 and Whitefield Main Road in Bangalore.,Stay safe with 24x7 power backup and optimized energy efficiency.,Enjoy world-class gym facilities amidst lush surroundings.,Indulge in luxurious living spaces with tasteful oil-bound distemper walls.,Choose from various 1-4 BHK apartment options ranging from 578 to 1930 sq. ft.,Invest in a RERA-approved project with a unique blend of convenience and luxury.",https://www.squareyards.com/sumadhura-projects/501/builder,23 Years Experience,8,33,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Shower Panel, Geyser, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; PNG; AC Waiting Lobby; Treated Water Supply; Day Care Center; Pet Area; Guest House; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Dance Room; Mini Theatre; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi
r19674,Skytech Colour Avenue,"Sector 10 Greater Noida, Greater Noida",Price on Request,N/A,Under Construction,"2, 3 BHK",870 Sq. Ft to 1240 Sq. Ft (Saleable),Skytech,432 units,2.99 Acres,Ask for Details,"Oct 30, 2020",Sector 10 Greater Noida,Greater Noida West,"Strategically located near Greater Noida West Link Road.,Easy access to Bisrakh Road and nearby areas.,Approved by RERA with registration number UPRERAPRJ6664.,Well-equipped gym for a healthy and active lifestyle.,Reliable power backup for uninterrupted living.",https://www.squareyards.com/skytech-projects/171/builder,15 Years Experience,1,8,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r395389,Signature Global City 63A,"Sector 63A, Gurgaon",Rs36.35 Lac - 2.64 Cr,N/A,Partially Ready To Move,"2, 3 BHK",166 Sq. Ft to 1470 Sq. Ft (Saleable),Signature Global,254 units,5 Acres,Ask for Details,Ask for Details,Sector 63A,Golf Course Extension,,https://www.squareyards.com/signature-global-projects/3175/builder,19 Years Experience,10,43,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Indian Marble; Walls: Acrylic Emulsion; Living Area-Flooring: Indian Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; Pet Area; Laundromat; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; IGBC Certified Building,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Food Court
r213249,Godrej 101,"Sector 79, Gurgaon",Rs2.19 Cr - 3.70 Cr,"Rs15,649 Per Sq. Ft",Partially Ready To Move,"2, 3 BHK",1383 Sq. Ft to 2366 Sq. Ft (Saleable),Godrej,890 units,13 Acres,Ask for Details,Ask for Details,Sector 79,New Gurgaon,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,51,160,660/2017/307,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Rappelling/Rock Climbing; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Dance Room; Reading Room/Library; Sauna; Party Hall; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
r156477,Rishi Ventoso,"Madhyamgram, Kolkata",Rs38.17 Lac - 60.50 Lac,N/A,Mid Stage,"2, 3 BHK",849 Sq. Ft to 1346 Sq. Ft (Saleable),Rishi Buildwell,330 units,3.26 Acres,Ask for Details,Ask for Details,Madhyamgram,North Kolkata,"RERA certified, project compliance ensured, added trust.,Strategically located on Jessore Road, seamless connectivity.,Power backup, ensuring 24/7 convenience and security.,Well-designed amenities, including gym for active lifestyle.,Optimal use of space, rich finishes, and quality construction.",https://www.squareyards.com/rishi-buildwell-projects/3115/builder,12 Years Experience,1,N/A,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure with infill brick walls,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; Medical Facility; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games
r403616,DS Max Shresta,"Bellahalli, Bangalore",Rs59.56 Lac - 86.79 Lac,"Rs5,500 Per Sq. Ft",Under Construction,"2, 3 BHK",1083 Sq. Ft to 1578 Sq. Ft (Saleable),DS MAX Properties Pvt Ltd,281 units,2 Acres,Ask for Details,Ask for Details,Bellahalli,North Bangalore,"Strategically located near Bellary Road and Thanisandra Main Road.,Possesses a RERA certification of PRM/KA/RERA/1251/309/PR/220223/005748.,Offers state-of-the-art amenities like party hall and gymnasium.,Features 24x7 security and power backup for absolute comfort.,Backed by Pioneer Real Estate Developers, known for quality projects.",https://www.squareyards.com/ds-max-properties-pvt-ltd-projects/1816/builder,12 Years Experience,14,119,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games; Senior Citizen Area
r423457,Shyam Upvan,"Hanspura, Ahmedabad",Price on Request,N/A,New Launch,"2, 3 BHK",707 Sq. Ft to 965 Sq. Ft (Saleable),Shyam Group,240 units,1.49 Acres,Ask for Details,Ask for Details,Hanspura,Ahmedabad East,,https://www.squareyards.com/shyam-group-projects/22328/builder,N/A,1,2,CITY/AUDA/AA00022/220822R1,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Indoor Games
r424266,Elite Vivanta,"Kharghar Sector 15, Navi Mumbai",Rs1.58 Cr - 2.11 Cr,N/A,New Launch,"2, 3 BHK",771 Sq. Ft to 1028 Sq. Ft (Carpet),Elite World,81 units,0.51 Acres,Ask for Details,Ask for Details,Kharghar Sector 15,CBD Belapur,,https://www.squareyards.com/elite-world-projects/11820/builder,N/A,2,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; High Speed Elevators; Podium Parking; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
