XID,Data Point,Housing,MagicBricks,SquareYards
388006,Builder Experience,,35+ years,29 Years Experience
388006,Total Towers,,11,
388006,Rera Number,"P52000033880, P52000045371, P52000046738",,A51800000454
390137,Name,Tulip Monsella,Tulip Monsella,Tulip Monsella
390137,Location,"Golf Course Road, Sector 53, Golf Course Road, Gurgaon","Sector 53, Gurgaon","Sector 53, Gurgaon"
390137,Builder Name,TULIP INFRATECH PVT LTD,Tulip Infratech Pvt. Ltd.,Tulip
390137,Price Range,7.47 Cr - 11.71 Cr,,Rs7.90 Cr - 12.38 Cr
390137,Price per Sq.Ft,,Rs 19018,
390137,BHK,"3, 4, 5 BHK Apartments","3,4,5 BHK Flats","3, 4, 5 BHK"
390137,Property Type,,,
390137,Project Status,,,Under Construction
390137,Launch Date,"Apr, 2022 Avg. Price: 26 K/sq.ft",,Ask for Details
390137,Possession Date,"Jun, 2027",,Ask for Details
390137,Total Units,,1276.0,1383 units
390137,Project Size (Acres),19.24 Acres,19 Acre,19.24 Acres
390137,Amenities Count,,0,
390137,USP,Why Tulip Monsella? 2014 Rajiv Gandhi Excellence Award 4 mins. from HUDA City Centre Metro station. Walking distance of 300 meter from sector 53 rapid metro 20 acre land parcel with 5 tier security Sports academy in 2.5 acres by an International cricketer,"Retreat Pool at the Ground Level | Cycle track and Jogging Tracks with Led lights | Private lift with access control | Concierge Service in the Main Tower Entrance Lobby | Wellness zone with spa and gymnasium | Gated Community with Central Monitoring CCTV System | Sky Hub with Social Wellness and Tranquillity Zones | Private Party Lawn and Elevated Walkway | Zero vehicle movements on Ground Floor | 3 Level Basement Parking | 25 mins. from Delhi Border | 4 mins. from HUDA City Centre Metro station | Walking distance of 300 meter from sector 53 rapid metro | 7 mins. from Iffco Chowk | 10 mins. from Cyber City | Tulip Monsella Gurgaon is a Walking Distance of 300m from Rapid metro station | 30 mins. from the IMT, Manesar | 9 mins. from MGF Metropolitan Mall",
390137,Builder Experience,,18+ years,13 Years Experience
390137,Total Towers,,,
390137,Rera Number,GGM/554/286/2022/29 DATED 25.04.2022,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",1-Mar-22,Ask for Details
391580,Possession Date,"Dec, 2024",1-Dec-25,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",1-Mar-22,Ask for Details
391580,Possession Date,"Dec, 2024",1-Dec-25,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",01 March 2022,Ask for Details
391580,Possession Date,"Dec, 2024",01 December 2025,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",01 March 2022,Ask for Details
391580,Possession Date,"Dec, 2024",01 December 2025,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",1-Mar-22,Ask for Details
391580,Possession Date,"Dec, 2024",1-Dec-25,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",1-Mar-22,Ask for Details
391580,Possession Date,"Dec, 2024",1-Dec-25,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",01 March 2022,Ask for Details
391580,Possession Date,"Dec, 2024",01 December 2025,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
391580,Name,DLF The Grove,DLF The Grove,DLF The Grove
391580,Location,"DLF Phase 5, Sector 54, DLF City, Gurgaon","Sector 54, Gurgaon","Sector 54, Gurgaon"
391580,Builder Name,DLF REAL ESTATE BUILDERS LIMITED,DLF Ltd.,DLF
391580,Price Range,5.32 Cr - 14.42 Cr,10.93 Cr,Rs7.30 Cr - 14.46 Cr
391580,Price per Sq.Ft,,Rs 18864,
391580,BHK,"3, 4 BHK Apartments","3,4,5 BHK Builder Floors","4, 5 BHK"
391580,Property Type,,Builder Floor,
391580,Project Status,,Under Construction,Under Construction
391580,Launch Date,"Feb, 2022 Avg. Price: 31.98 K/sq.ft",01 March 2022,Ask for Details
391580,Possession Date,"Dec, 2024",01 December 2025,Ask for Details
391580,Total Units,,292.0,292 units
391580,Project Size (Acres),5.3 Acres,5 Acre,5.3 Acres
391580,Amenities Count,,24,
391580,USP,Why DLF The Grove? Huda City Centre u2013 10 Min. Shalom Hills International School- 5 Min Belvedere Towers Metro Station- 10 Min. Medanta u2013The Medicity u2013 18 Min,"Access controlled arrival lobby with lift | Terrace garden designed by MPFP, New York | Tree-lined avenues and gardens nearby | Designed by GA Design, London | High-end interior finishes | Kitchen Modular cabinetry with high-end appliances | Double glazed windows for heat and noise resistance | Home Automation | VRV Airconditioning | 5-tier security protocols | Located along Golf Course Road | Connected via Gurgaon-Faridabad Road & Southern Peripheral Road | Served by Sector-53/54 Metro Station on the Gurgaon's Rapid Metro Line | Connecting the area to Moulsari Avenue | Several business hubs are located on Golf Course Road, while DLF Cybercity & Udyog Vihar are 7 km from the area | Proximity to employment centres & metro connectivity attract the tenants to DLF City Phase V",
391580,Builder Experience,,75+ years,70 Years Experience
391580,Total Towers,,,
391580,Rera Number,GGM/538/270/2022/13,,660/2017/307
396809,Name,,Ashiana Amarah,Ashiana Amarah
396809,Location,,"Sector 93, Gurgaon","Sector 93, Gurgaon"
396809,Builder Name,,Ashiana Housing Ltd.,Ashiana
396809,Price Range,,3.26 Cr,Rs2.58 Cr - 3.31 Cr
396809,Price per Sq.Ft,,Rs 8067,
396809,BHK,,"3,4 BHK Flats","3, 4 BHK"
396809,Property Type,,Flat,
396809,Project Status,,Under Construction,Under Construction
396809,Launch Date,,1-Sep-21,Ask for Details
396809,Possession Date,,1-Jan-27,Ask for Details
396809,Total Units,,1200.0,1412 units
396809,Project Size (Acres),,22 Acre,22 Acres
396809,Amenities Count,,44,
396809,USP,,"Club Size 27,000 Sq Ft Approx | Learning Hub 6,000 Sq Ft Approx. | Green Area 6.7 Acres | Learning Hub, Play Street, Doorstep play area | Adventure area, Sports area | Club & Swimming pool | 80% of open area | Panoramic views of the wonderful surroundings | Ventilation and natural flow of light | Lots of well-planned services | Located just off the IMT Road with other developed sectors in the vicinity | Thriving locality that offers a lot of entertainment, leisure and healthcare avenues | Malls, shopping complexes and hospitals located nearby | It is in close vicinity to Central Park-2 and Cybercity | Developing locality in Gurgaon and has several schools and supermarkets | The national capital territory of Delhi boundary’s it on its southern sides having better connectivity | Gurugram's first Kids Centric Homes | Location advantagesSector-93 in Gurgaon is located just off the IMT Road with other developed sectors in the vicinity | Sector-93 Gurgaon is a thriving locality that offers a lot of entertainment, leisure and healthcare avenues in terms of malls | Shopping complexes and hospitals located nearby | It is a developing locality in Gurgaon and has several schools and supermarkets | The national capital territory of Delhi boundary’s it on its southern sides having better connectivity. | 7 Mins to Delhi's Largest Transportation Hub | 25km far from the Indira Gandhi International airport.",
396809,Builder Experience,,46+ years,40 Years Experience
396809,Total Towers,,21,
396809,Rera Number,,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
399000,Property Type,,Residential Plot,
399000,Project Status,,Under Construction,Ready to Move
399000,Launch Date,"Jul, 2023 Avg. Price: 11.29 K - 17.26 K/sq.ft",1-Jun-22,Ask for Details
399000,Possession Date,"Apr, 2025",1-Dec-26,Ask for Details
399000,Total Units,,140.0,276 units
399000,Project Size (Acres),0,9 Acre,9 Acres
399000,Amenities Count,,17,
399000,USP,Not Found,Highway Touch Project | Near to Mumbai Expressway | Nestled in Aravali Hills | Rectangular Plot With Scenic Views | No High-tension Wire | Located on NH-248A | Proximity to the Delhi-Mumbai Expressway and Kundli-Manesar-Palwal Expressway (KMP),"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56."
399000,Builder Experience,,27+ years,20 Years Experience
399000,Total Towers,,7,
399000,Rera Number,Not Found,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
399000,Property Type,,Residential Plot,
399000,Project Status,,Under Construction,Ready to Move
399000,Launch Date,"Jul, 2023 Avg. Price: 11.29 K - 17.26 K/sq.ft",1-Jun-22,Ask for Details
399000,Possession Date,"Apr, 2025",1-Dec-26,Ask for Details
399000,Total Units,,140.0,276 units
399000,Project Size (Acres),0,9 Acre,9 Acres
399000,Amenities Count,,17,
399000,USP,Not Found,Highway Touch Project | Near to Mumbai Expressway | Nestled in Aravali Hills | Rectangular Plot With Scenic Views | No High-tension Wire | Located on NH-248A | Proximity to the Delhi-Mumbai Expressway and Kundli-Manesar-Palwal Expressway (KMP),"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56."
399000,Builder Experience,,27+ years,20 Years Experience
399000,Total Towers,,7,
399000,Rera Number,Not Found,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
399000,Property Type,,Residential Plot,
399000,Project Status,,Under Construction,Ready to Move
399000,Launch Date,"Jul, 2023 Avg. Price: 11.29 K - 17.26 K/sq.ft",01 June 2022,Ask for Details
399000,Possession Date,"Apr, 2025",01 December 2026,Ask for Details
399000,Total Units,,140.0,276 units
399000,Project Size (Acres),0,9 Acre,9 Acres
399000,Amenities Count,,17,
399000,USP,Not Found,Highway Touch Project | Near to Mumbai Expressway | Nestled in Aravali Hills | Rectangular Plot With Scenic Views | No High-tension Wire | Located on NH-248A | Proximity to the Delhi-Mumbai Expressway and Kundli-Manesar-Palwal Expressway (KMP),"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56."
399000,Builder Experience,,27+ years,20 Years Experience
399000,Total Towers,,7,
399000,Rera Number,Not Found,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
399000,Property Type,,Residential Plot,
399000,Project Status,,Under Construction,Ready to Move
399000,Launch Date,"Jul, 2023 Avg. Price: 11.29 K - 17.26 K/sq.ft",01 June 2022,Ask for Details
399000,Possession Date,"Apr, 2025",01 December 2026,Ask for Details
399000,Total Units,,140.0,276 units
399000,Project Size (Acres),0,9 Acre,9 Acres
399000,Amenities Count,,17,
399000,USP,Not Found,Highway Touch Project | Near to Mumbai Expressway | Nestled in Aravali Hills | Rectangular Plot With Scenic Views | No High-tension Wire | Located on NH-248A | Proximity to the Delhi-Mumbai Expressway and Kundli-Manesar-Palwal Expressway (KMP),"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56."
399000,Builder Experience,,27+ years,20 Years Experience
399000,Total Towers,,7,
399000,Rera Number,Not Found,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
399000,Property Type,,Residential Plot,
399000,Project Status,,Under Construction,Ready to Move
399000,Launch Date,"Jul, 2023 Avg. Price: 11.29 K - 17.26 K/sq.ft",1-Jun-22,Ask for Details
399000,Possession Date,"Apr, 2025",1-Dec-26,Ask for Details
399000,Total Units,,140.0,276 units
399000,Project Size (Acres),0,9 Acre,9 Acres
399000,Amenities Count,,17,
399000,USP,Not Found,Highway Touch Project | Near to Mumbai Expressway | Nestled in Aravali Hills | Rectangular Plot With Scenic Views | No High-tension Wire | Located on NH-248A | Proximity to the Delhi-Mumbai Expressway and Kundli-Manesar-Palwal Expressway (KMP),"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56."
399000,Builder Experience,,27+ years,20 Years Experience
399000,Total Towers,,7,
399000,Rera Number,Not Found,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
399000,Property Type,,Residential Plot,
399000,Project Status,,Under Construction,Ready to Move
399000,Launch Date,"Jul, 2023 Avg. Price: 11.29 K - 17.26 K/sq.ft",1-Jun-22,Ask for Details
399000,Possession Date,"Apr, 2025",1-Dec-26,Ask for Details
399000,Total Units,,140.0,276 units
399000,Project Size (Acres),0,9 Acre,9 Acres
399000,Amenities Count,,17,
399000,USP,Not Found,Highway Touch Project | Near to Mumbai Expressway | Nestled in Aravali Hills | Rectangular Plot With Scenic Views | No High-tension Wire | Located on NH-248A | Proximity to the Delhi-Mumbai Expressway and Kundli-Manesar-Palwal Expressway (KMP),"Stylized apartments near Sohna Road, Gurgaon.,Easy access to Delhi Mumbai Expressway and Sohna Road.,Spacious apartments in Sector 35, Sohna, Gurgaon.,Premium amenities like gymnasium, reading room and 24x7 water supply.,Rera certified projects GGM/606/338/2022/81, GGM/725/457/2023/69, GGM/712/444/2023/56."
399000,Builder Experience,,27+ years,20 Years Experience
399000,Total Towers,,7,
399000,Rera Number,Not Found,,660/2017/307
399000,Name,ATS Bonheur Avenue,ATS Bonheur Avenue,ATS Homekraft Bonheur Avenue
399000,Location,"Dhunela, Gurgaon","Sector 35 Sohna, Gurgaon","Sohna Sector 35, Gurgaon"
399000,Builder Name,ATS HOMEKRAFT,ATS Homekraft,ATS
399000,Price Range,1.55 Cr - 1.81 Cr,2.86 Cr,Rs1.38 Cr - 2.75 Cr
399000,Price per Sq.Ft,,Rs 17593,
399000,BHK,0,Plots,Ask for Details
