District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,chec_regno
Jaipur,Dream Homes,GROUP HOUSING,P G DEVELOPERS,RAJ-RERA-APP-P-2021-3139,RAJ/P/2021/1535 (15/04/2021),View,RAJ_P_2021_1535 (15_04_2021)
Sikar,CHHABRAS CROWN MALL,Commercial,sohan lal chhabra,RAJ-RERA-APP-P-2021-3126,RAJ/P/2021/1560 (09/06/2021),View,RAJ_P_2021_1560 (09_06_2021)
Pali,SHREE KRISHNA NAGAR,PLOTTED,UIT PALI,RAJ-RERA-APP-P-2021-3125,RAJ/P/2021/1514 (26/03/2021),View,RAJ_P_2021_1514 (26_03_2021)
Jaipur,BOSCH ENCLAVE NORTH,PLOTTED,BHAGWAN SAHAY SHARMA,RAJ-RERA-APP-P-2021-3116,RAJ/P/2021/1542 (29/04/2021),View,RAJ_P_2021_1542 (29_04_2021)
Jaipur,Kedia's Prakash Avenues,PLOTTED,Kedia Realty,RAJ-RERA-APP-P-2021-3118,RAJ/P/2021/1517 (27/03/2021),View,RAJ_P_2021_1517 (27_03_2021)
Jaipur,Ashiana Greens Phase 3,GROUP HOUSING,The Green Triveni Developer,RAJ-RERA-APP-P-2021-3114,RAJ/P/2021/1513 (26/03/2021),View,RAJ_P_2021_1513 (26_03_2021)
Jaipur,Gulmohar,GROUP HOUSING,NATURE HOMES BUILDERS AND DEVELOPERS LLP,RAJ-RERA-APP-P-2021-3108,RAJ/P/2021/1510 (23/03/2021),View,RAJ_P_2021_1510 (23_03_2021)
Jaipur,Narmada Apartments,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2021-3104,RAJ/P/2021/1519 (07/04/2021),View,RAJ_P_2021_1519 (07_04_2021)
Kota,MINES OWNERS COLONY,PLOTTED,MINES OWNERS COLONIZERS,RAJ-RERA-APP-P-2021-3103,RAJ/P/2021/1512 (24/03/2021),View,RAJ_P_2021_1512 (24_03_2021)
Sikar,BALAJI TOWER,Commercial,SHRI BALAJI DEVELOPERS,RAJ-RERA-APP-P-2021-3096,RAJ/P/2021/1527 (09/04/2021),View,RAJ_P_2021_1527 (09_04_2021)
Pali,VINAYAK CITY,GROUP HOUSING,VINAYAK DEVELOPERS,RAJ-RERA-APP-P-2021-3097,RAJ/P/2021/1555 (01/06/2021),View,RAJ_P_2021_1555 (01_06_2021)
Jaipur,PUSHAP ENCLAVE,GROUP HOUSING,TARA CHAND SONI,RAJ-RERA-APP-P-2021-3095,RAJ/P/2021/1516 (26/03/2021),View,RAJ_P_2021_1516 (26_03_2021)
Baran,MOTER MARKET,Commercial,NAGAR PARISHAD BARAN,RAJ-RERA-APP-P-2021-3087,RAJ/P/2021/1525 (09/04/2021),View,RAJ_P_2021_1525 (09_04_2021)
Jaipur,THE PLEASURE GARDEN BLOCK-A,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2021-3088,RAJ/P/2021/1498 (19/03/2021),View,RAJ_P_2021_1498 (19_03_2021)
Alwar,PRAGATI COMPLEX,PLOTTED,Bhiwadi Integrated Development Authority,RAJ-RERA-APP-P-2021-3082,RAJ/P/2021/1518 (02/04/2021),View,RAJ_P_2021_1518 (02_04_2021)
Alwar,UNNATI LOCAL SHOPPING CENTER,PLOTTED,Bhiwadi Integrated Development Authority,RAJ-RERA-APP-P-2021-3083,RAJ/P/2021/1495 (18/03/2021),View,RAJ_P_2021_1495 (18_03_2021)
Alwar,MOHAN VIHAR RESIDENTIAL SCHEME,PLOTTED,Bhiwadi Integrated Development Authority,RAJ-RERA-APP-P-2021-3084,RAJ/P/2021/1522 (09/04/2021),View,RAJ_P_2021_1522 (09_04_2021)
Jhalawar,KRISHA RESIDENCY,PLOTTED,MOHAN LAL BHEEL,RAJ-RERA-APP-P-2021-3077,RAJ/P/2021/1508 (21/03/2021),View,RAJ_P_2021_1508 (21_03_2021)
Jaipur,SHIVAM HEIGHTS,GROUP HOUSING,SHREE MAHAKAAL REALINFRACON LLP,RAJ-RERA-APP-P-2021-3079,RAJ/P/2021/1521 (07/04/2021),View,RAJ_P_2021_1521 (07_04_2021)
Jaipur,RAMAA PRIME-1ST,GROUP HOUSING,KRISHNAA BALRAM RESIDENCY PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3078,RAJ/P/2021/1506 (21/03/2021),View,RAJ_P_2021_1506 (21_03_2021)
Udaipur,ARCHI THE HARMONY,GROUP HOUSING,SHREEJI ENTERPRISES,RAJ-RERA-APP-P-2021-3080,RAJ/P/2021/1500 (20/03/2021),View,RAJ_P_2021_1500 (20_03_2021)
Jaipur,Raj Heights,GROUP HOUSING,SSD BUILDTECH,RAJ-RERA-APP-P-2021-3076,RAJ/P/2021/1509 (21/03/2021),View,RAJ_P_2021_1509 (21_03_2021)
Jaipur,SHRI RADHA GOVIND VILLA,PLOTTED,FRIENDS HOUSING,RAJ-RERA-APP-P-2021-3074,RAJ/P/2021/1515 (26/03/2021),View,RAJ_P_2021_1515 (26_03_2021)
Jodhpur,ADITYA DWARKADISH CITY PHASE-II,GROUP HOUSING,ADITYA BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2021-3070,RAJ/P/2021/1531 (13/04/2021),View,RAJ_P_2021_1531 (13_04_2021)
Jaipur,HARGOVIND RESIDENTIAL SCHEME,PLOTTED,UNIQUE DREAM BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3065,RAJ/P/2021/1501 (20/03/2021),View,RAJ_P_2021_1501 (20_03_2021)
Jaipur,RUHEEN REGAL,GROUP HOUSING,RUHEEN DEVELOPERS AND PROPERTIES LLP,RAJ-RERA-APP-P-2021-3063,RAJ/P/2021/1499 (19/03/2021),View,RAJ_P_2021_1499 (19_03_2021)
Jaipur,MADHAV RESIDENCY,GROUP HOUSING,GOLDENDREAM BUILDERS AND DEVELOPER PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3061,RAJ/P/2021/1497 (19/03/2021),View,RAJ_P_2021_1497 (19_03_2021)
Jaipur,Om Residency,GROUP HOUSING,SILVER VELLY ESTATE,RAJ-RERA-APP-P-2021-3057,RAJ/P/2021/1524 (09/04/2021),View,RAJ_P_2021_1524 (09_04_2021)
Jaipur,Vilasa Umang,GROUP HOUSING,Taruchaya Colonizers Private Limited,RAJ-RERA-APP-P-2021-3054,RAJ/P/2021/1572 (30/06/2021),View,RAJ_P_2021_1572 (30_06_2021)
Jaipur,DI DAU O MUNTAJAE,GROUP HOUSING,DI DAU O MUNTAJAE,RAJ-RERA-APP-P-2021-3055,RAJ/P/2021/1511 (23/03/2021),View,RAJ_P_2021_1511 (23_03_2021)
Jaipur,ROYAL HABITAT,PLOTTED,sital grass field township developers Pvt Ltd,RAJ-RERA-APP-P-2021-3050,RAJ/P/2021/1559 (03/06/2021),View,RAJ_P_2021_1559 (03_06_2021)
Jaipur,MEADOWS VILLA,GROUP HOUSING,DEFINED BUILDERS AND COLONIZERS LLP,RAJ-RERA-APP-P-2021-3049,RAJ/P/2021/1492 (17/03/2021),View,RAJ_P_2021_1492 (17_03_2021)
Bhilwara,G S County,GROUP HOUSING,G S DREAMHOME LLP,RAJ-RERA-APP-P-2021-3036,RAJ/P/2021/1520 (07/04/2021),View,RAJ_P_2021_1520 (07_04_2021)
Udaipur,SCHEME IN RCA CAMPUS UDAIPOLE BUS STAND TO KUMHARO KA BHATTA,PLOTTED,UIT UDAIPUR,RAJ-RERA-APP-P-2021-3027,RAJ/P/2021/1502 (20/03/2021),View,RAJ_P_2021_1502 (20_03_2021)
Alwar,SHUBHASHRAY UPTOWN PHASE III,GROUP HOUSING,SUREFIN ADVISORS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3023,RAJ/P/2021/1530 (13/04/2021),View,RAJ_P_2021_1530 (13_04_2021)
Alwar,SHUBHASHRAY UPTOWN PHASE II,GROUP HOUSING,SUREFIN ADVISORS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3022,RAJ/P/2021/1529 (13/04/2021),View,RAJ_P_2021_1529 (13_04_2021)
Jaipur,KEDIA'S PANCHWATI,PLOTTED,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3012,RAJ/P/2021/1467 (27/02/2021),View,RAJ_P_2021_1467 (27_02_2021)
Jaipur,Akshat Anugrah,GROUP HOUSING,AKSHAT APARTMENTS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3003,RAJ/P/2021/1486 (05/03/2021),View,RAJ_P_2021_1486 (05_03_2021)
Jaipur,KEDIA'S VIRASAT,GROUP HOUSING,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3011,RAJ/P/2021/1468 (28/02/2021),View,RAJ_P_2021_1468 (28_02_2021)
Kota,NILAY,PLOTTED,DENIM DEVELOPERS LIMITED,RAJ-RERA-APP-P-2021-2996,RAJ/P/2021/1474 (02/03/2021),View,RAJ_P_2021_1474 (02_03_2021)
Kota,SHIV VIHAR,PLOTTED,ROHIT ASSOCIATES,RAJ-RERA-APP-P-2021-2986,RAJ/P/2021/1533 (13/04/2021),View,RAJ_P_2021_1533 (13_04_2021)
Kota,HIMMAT NAGAR-II,PLOTTED,RADHEY COLONIZERS AND BUILDERS,RAJ-RERA-APP-P-2021-2985,RAJ/P/2021/1475 (02/03/2021),View,RAJ_P_2021_1475 (02_03_2021)
Kota,SARANSH VIHAR,PLOTTED,RPS COLONIZERS,RAJ-RERA-APP-P-2021-2984,RAJ/P/2021/1532 (13/04/2021),View,RAJ_P_2021_1532 (13_04_2021)
Jaipur,ROYAL HOMES,GROUP HOUSING,GOKUL KRIPA COLONIZERS AND DEVELOPERS PVT. LTD.,RAJ-RERA-APP-P-2021-2983,RAJ/P/2021/1469 (28/02/2021),View,RAJ_P_2021_1469 (28_02_2021)
Barmer,BARMER RESIDENCY,GROUP HOUSING,DURGA BUILDERS,RAJ-RERA-APP-P-2021-2981,RAJ/P/2021/1480 (05/03/2021),View,RAJ_P_2021_1480 (05_03_2021)
Jaipur,RAJLAXMI ENCLAVE-VIII,PLOTTED,KAILASH BUILDESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2021-2980,RAJ/P/2021/1485 (05/03/2021),View,RAJ_P_2021_1485 (05_03_2021)
Jaipur,CHETAN VIHAR,PLOTTED,BHAGWAN DEV SHARMA,RAJ-RERA-APP-P-2021-2979,RAJ/P/2021/1484 (05/03/2021),View,RAJ_P_2021_1484 (05_03_2021)
Jodhpur,Ashiana Dwarka Phase-IV,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2021-2978,RAJ/P/2021/1472 (02/03/2021),View,RAJ_P_2021_1472 (02_03_2021)
Jaipur,Ashiana Greens Phase 2,GROUP HOUSING,The Green Triveni Developer,RAJ-RERA-APP-P-2021-2972,RAJ/P/2021/1494 (17/03/2021),View,RAJ_P_2021_1494 (17_03_2021)
Bhilwara,INFINITY BUSINESS PARK,PLOTTED,KANTA SARAF,RAJ-RERA-APP-P-2021-2965,RAJ/P/2021/1481 (05/03/2021),View,RAJ_P_2021_1481 (05_03_2021)
Jaipur,VARDHMAN’S KINGS COURT,GROUP HOUSING,RICHWELL ENTERPRISES PRIVATE LIMITED,RAJ-RERA-APP-P-2021-2962,RAJ/P/2021/1473 (02/03/2021),View,RAJ_P_2021_1473 (02_03_2021)
Jaipur,LIBRA RESIDENCY,GROUP HOUSING,VATSAL ENTERPRISES,RAJ-RERA-APP-P-2021-2963,RAJ/P/2021/1488 (10/03/2021),View,RAJ_P_2021_1488 (10_03_2021)
Jaipur,GOVIND RESIDENCY,PLOTTED,BHORI LAL,RAJ-RERA-APP-P-2021-2960,RAJ/P/2021/1476 (02/03/2021),View,RAJ_P_2021_1476 (02_03_2021)
Jhalawar,TULSI VIHAR,PLOTTED,RAJENDRA KUMAR MEENA,RAJ-RERA-APP-P-2021-2956,RAJ/P/2021/1507 (21/03/2021),View,RAJ_P_2021_1507 (21_03_2021)
Barmer,GOKUL DHAM VALLEY,GROUP HOUSING,NANAK DEVELOPERS,RAJ-RERA-APP-P-2021-2951,RAJ/P/2021/1489 (10/03/2021),View,RAJ_P_2021_1489 (10_03_2021)
Jodhpur,LOVE HOME MARWAR PHASE-3,GROUP HOUSING,THE LOVE HOMES LLP,RAJ-RERA-APP-P-2021-2949,RAJ/P/2021/1503 (20/03/2021),View,RAJ_P_2021_1503 (20_03_2021)
Alwar,BABA MOHANRAM WHOLESALE FRUITS & VEGETABLES MANDI,PLOTTED,Bhiwadi Integrated Development Authority,RAJ-RERA-APP-P-2021-2944,RAJ/P/2021/1457 (13/02/2021),View,RAJ_P_2021_1457 (13_02_2021)
Ajmer,DEEPMALA RESIDENCY,GROUP HOUSING,DEEPMALA INFRAESTATE AND TOWNS PVT LTD,RAJ-RERA-APP-P-2021-2946,RAJ/P/2021/1466 (26/02/2021),View,RAJ_P_2021_1466 (26_02_2021)
Jaipur,SUKHIJA VIHAR-B,PLOTTED,CHOPRA AWAS VIKAS LLP,RAJ-RERA-APP-P-2021-2938,RAJ/P/2021/1477 (02/03/2021),View,RAJ_P_2021_1477 (02_03_2021)
Jaipur,SHRI GOVINDAM RESIDENCY,PLOTTED,BHRAMI BUILDESTATE LLP,RAJ-RERA-APP-P-2021-2935,RAJ/P/2021/1461 (23/02/2021),View,RAJ_P_2021_1461 (23_02_2021)
Jaipur,GANPATI ENCLAVE,PLOTTED,HEMRAJ SHARMA,RAJ-RERA-APP-P-2021-2931,RAJ/P/2021/1459 (20/02/2021),View,RAJ_P_2021_1459 (20_02_2021)
Ajmer,Unique Green Valley,GROUP HOUSING,Murano Service Apartments Private Limited,RAJ-RERA-APP-P-2021-2932,RAJ/P/2021/1470 (02/03/2021),View,RAJ_P_2021_1470 (02_03_2021)
Barmer,BALAJI RESIDENCY,GROUP HOUSING,BALAJI DEVELOPERS,RAJ-RERA-APP-P-2021-2917,RAJ/P/2021/1491 (15/03/2021),View,RAJ_P_2021_1491 (15_03_2021)
Alwar,GHILOTH ASHRAY,GROUP HOUSING,NIRMAN BUILDERS,RAJ-RERA-APP-P-2021-2923,RAJ/P/2021/1448 (04/02/2021),View,RAJ_P_2021_1448 (04_02_2021)
Kota,DIYA PARK-EXT.,PLOTTED,Coral Infraprojects,RAJ-RERA-APP-P-2021-2915,RAJ/P/2021/1451 (08/02/2021),View,RAJ_P_2021_1451 (08_02_2021)
Kota,Deepak Residency,PLOTTED,Diya Developers,RAJ-RERA-APP-P-2021-2916,RAJ/P/2021/1452 (09/02/2021),View,RAJ_P_2021_1452 (09_02_2021)
Sri Ganganagar,ARAVALI HOMES,GROUP HOUSING,CHOUDHARY BUILD MART PVT LTD,RAJ-RERA-APP-P-2021-2913,RAJ/P/2021/1453 (10/02/2021),View,RAJ_P_2021_1453 (10_02_2021)
Jaipur,SUKH SAMRIDHI,GROUP HOUSING,GOVIND KRIPA ENCLAVE LLP,RAJ-RERA-APP-P-2021-2911,RAJ/P/2021/1464 (25/02/2021),View,RAJ_P_2021_1464 (25_02_2021)
Jodhpur,ADINATH ADITA,GROUP HOUSING,ADINATH BUILDWELL PRIVATE LIMITED,RAJ-RERA-APP-P-2021-2900,RAJ/P/2021/1490 (11/03/2021),View,RAJ_P_2021_1490 (11_03_2021)
Alwar,MANGLAM'S RAMBAGH,PLOTTED,RAMBAGH DEVELOPERS,RAJ-RERA-APP-P-2021-2897,RAJ/P/2021/1460 (20/02/2021),View,RAJ_P_2021_1460 (20_02_2021)
Jaipur,GEETA Phase-II,GROUP HOUSING,Shubhashish Builders and Developers,RAJ-RERA-APP-P-2021-2895,RAJ/P/2021/1433 (28/01/2021),View,RAJ_P_2021_1433 (28_01_2021)
Alwar,VATIKA RESIDENCY,PLOTTED,LAL CHAND SAINI,RAJ-RERA-APP-P-2021-2894,RAJ/P/2021/1478 (03/03/2021),View,RAJ_P_2021_1478 (03_03_2021)
Jodhpur,ASHAPURNA AANGAN PRIME,PLOTTED,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2021-2889,RAJ/P/2021/1444 (02/02/2021),View,RAJ_P_2021_1444 (02_02_2021)
Barmer,SHIV SHAKTI RESIDENCY,GROUP HOUSING,SHIV SHAKTI DEVELOPERS,RAJ-RERA-APP-P-2021-2881,RAJ/P/2021/1493 (17/03/2021),View,RAJ_P_2021_1493 (17_03_2021)
Jaipur,THE PLEASURE GARDEN,PLOTTED,KISAAN PRIME ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2021-2876,RAJ/P/2021/1445 (03/02/2021),View,RAJ_P_2021_1445 (03_02_2021)
Kota,"VIKAS NAGAR,BLOCK-B",PLOTTED,Shiv Associates,RAJ-RERA-APP-P-2021-2870,RAJ/P/2021/1447 (04/02/2021),View,RAJ_P_2021_1447 (04_02_2021)
Alwar,"Mukhya Mantri Jan Awas Yojana, Aravali Vihar, Bhiwadi",GROUP HOUSING,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2021-2869,RAJ/P/2021/1431 (20/01/2021),View,RAJ_P_2021_1431 (20_01_2021)
Alwar,AANGAN VILLA PHASE-2,GROUP HOUSING,Lalji Buildstate Private Limited,RAJ-RERA-APP-P-2021-2855,RAJ/P/2021/1456 (13/02/2021),View,RAJ_P_2021_1456 (13_02_2021)
Jaipur,HANUMAN NAGAR-A,PLOTTED,GOKUL KRIPA COLONIZERS AND DEVELOPERS PVT. LTD.,RAJ-RERA-APP-P-2021-2854,RAJ/P/2021/1436 (02/02/2021),View,RAJ_P_2021_1436 (02_02_2021)
Jaipur,PARK INFINIA,Mixed (Residential And Commercial),VINAYAK DEVELOPERS,RAJ-RERA-APP-P-2021-2852,RAJ/P/2021/1454 (10/02/2021),View,RAJ_P_2021_1454 (10_02_2021)
Ajmer,SHIV PINNACLE,GROUP HOUSING,SHIVA BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2021-2850,RAJ/P/2021/1435 (29/01/2021),View,RAJ_P_2021_1435 (29_01_2021)
Jaipur,VRINDAVAN RESIDENCY,PLOTTED,ASHUTOSH BANSAL,RAJ-RERA-APP-P-2021-2844,RAJ/P/2021/1429 (19/01/2021),View,RAJ_P_2021_1429 (19_01_2021)
Chittorgarh,Arham Vihar,PLOTTED,KEERTI ROSHANLAL DHILIWAL,RAJ-RERA-APP-P-2021-2840,RAJ/P/2021/1462 (24/02/2021),View,RAJ_P_2021_1462 (24_02_2021)
Jaipur,MAHAVEER NAGAR,PLOTTED,YASH BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2021-2833,RAJ/P/2021/1437 (02/02/2021),View,RAJ_P_2021_1437 (02_02_2021)
Jaipur,ABHIMANYU RESIDENCY BLOCK-B,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2021-2832,RAJ/P/2021/1427 (13/01/2021),View,RAJ_P_2021_1427 (13_01_2021)
Jaisalmer,SWAMI VIVEKANAND RESIDENTIAL SCHEME JAISALMER,PLOTTED,URBAN IMPROVEMENT TRUST JAISALMER,RAJ-RERA-APP-P-2020-2824,RAJ/P/2021/1483 (05/03/2021),View,RAJ_P_2021_1483 (05_03_2021)
Ajmer,CMJAY Nagar Parishad Beawar,GROUP HOUSING,Nagar Parishad Beawar,RAJ-RERA-APP-P-2020-2821,RAJ/P/2021/1487 (05/03/2021),View,RAJ_P_2021_1487 (05_03_2021)
Jaipur,SHRI GOVIND KRIPA,PLOTTED,Gaurav Dadheech,RAJ-RERA-APP-P-2020-2822,RAJ/P/2021/1422 (04/01/2021),View,RAJ_P_2021_1422 (04_01_2021)
Jaipur,GALAXY ENCLAVE THE URBAN VILLAGE,GROUP HOUSING,GALAXY ENERGY SOLUTIONS LLP,RAJ-RERA-APP-P-2020-2818,RAJ/P/2021/1450 (06/02/2021),View,RAJ_P_2021_1450 (06_02_2021)
Jodhpur,AYODHYA NAGAR,PLOTTED,SATYANARAYAN SONI KATTA,RAJ-RERA-APP-P-2020-2815,RAJ/P/2021/1428 (15/01/2021),View,RAJ_P_2021_1428 (15_01_2021)
Alwar,"GANDHI NAGAR, SCHEME - 8",PLOTTED,UIT ALWAR,RAJ-RERA-APP-P-2020-2813,RAJ/P/2021/1417 (01/01/2021),View,RAJ_P_2021_1417 (01_01_2021)
Jaipur,Okay Plus Exotica Greens (West),PLOTTED,Okay Plus Builders LLP,RAJ-RERA-APP-P-2020-2807,RAJ/P/2021/1419 (01/01/2021),View,RAJ_P_2021_1419 (01_01_2021)
Jaipur,Bhavyaa Green Luxuria,GROUP HOUSING,BHAVYAA GREEN BUILDERS,RAJ-RERA-APP-P-2020-2810,RAJ/P/2021/1432 (20/01/2021),View,RAJ_P_2021_1432 (20_01_2021)
Jaipur,SHUBH VILLA EXT.,GROUP HOUSING,Shubham Landcon LLP,RAJ-RERA-APP-P-2020-2806,RAJ/P/2021/1424 (06/01/2021),View,RAJ_P_2021_1424 (06_01_2021)
Jhalawar,R.K. ENCLAVE-II,PLOTTED,MANOJ KUMAR LALWANI,RAJ-RERA-APP-P-2020-2798,RAJ/P/2021/1438 (02/02/2021),View,RAJ_P_2021_1438 (02_02_2021)
Jhalawar,R.K. ENCLAVE-III,PLOTTED,MANOJ KUMAR LALWANI,RAJ-RERA-APP-P-2020-2799,RAJ/P/2021/1439 (02/02/2021),View,RAJ_P_2021_1439 (02_02_2021)
Jhalawar,SAI SANSAR-III,PLOTTED,JAGDISH CHAND MEHAR,RAJ-RERA-APP-P-2020-2803,RAJ/P/2021/1443 (02/02/2021),View,RAJ_P_2021_1443 (02_02_2021)
Jhalawar,SAI DARSHAN-IV,PLOTTED,GOVIND MEGHWAL,RAJ-RERA-APP-P-2020-2802,RAJ/P/2021/1442 (02/02/2021),View,RAJ_P_2021_1442 (02_02_2021)
Jhalawar,R.K. ENCLAVE-IV,PLOTTED,ABDUL HAKIM,RAJ-RERA-APP-P-2020-2800,RAJ/P/2021/1440 (02/02/2021),View,RAJ_P_2021_1440 (02_02_2021)
Jhalawar,R.K. ENCLAVE-V,PLOTTED,ABDUL HAKIM,RAJ-RERA-APP-P-2020-2801,RAJ/P/2021/1441 (02/02/2021),View,RAJ_P_2021_1441 (02_02_2021)
Jaipur,Ashiana Umang Phase V and Ashiana Umang Plaza,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2020-2788,RAJ/P/2021/1430 (19/01/2021),View,RAJ_P_2021_1430 (19_01_2021)
Udaipur,HITAWALA RISING STAR,GROUP HOUSING,RISING STAR CONSTRUCTION,RAJ-RERA-APP-P-2020-2785,RAJ/P/2021/1421 (02/01/2021),View,RAJ_P_2021_1421 (02_01_2021)
Bhilwara,AMBESH NAGAR,PLOTTED,BINDU DEVI JAIN,RAJ-RERA-APP-P-2020-2783,RAJ/P/2021/1455 (13/02/2021),View,RAJ_P_2021_1455 (13_02_2021)
Kota,MUKUNDRA VIHAR VISTAR YOJANA- I,PLOTTED,"URBAN IMPROVEMENT TRUST,KOTA",RAJ-RERA-APP-P-2020-2779,RAJ/P/2020/1414 (23/12/2020),View,RAJ_P_2020_1414 (23_12_2020)
Barmer,SATYAM CITY,PLOTTED,PARKASH CHAND PARMAR,RAJ-RERA-APP-P-2020-2771,RAJ/P/2021/1616 (14/08/2021),View,RAJ_P_2021_1616 (14_08_2021)
Jaipur,Akshat Kanota Estate- Phase 5,GROUP HOUSING,AKSHAT APARTMENTS PRIVATE LIMITED,RAJ-RERA-APP-P-2020-2772,RAJ/P/2021/1446 (03/02/2021),View,RAJ_P_2021_1446 (03_02_2021)
Barmer,VIRATRA ENCLAVE,GROUP HOUSING,VIRATRA BUILDER,RAJ-RERA-APP-P-2020-2762,RAJ/P/2021/1426 (13/01/2021),View,RAJ_P_2021_1426 (13_01_2021)
Udaipur,AISHWARYAM RESIDENCY,GROUP HOUSING,Mahalaxmi Buildhome Limited,RAJ-RERA-APP-P-2020-2753,RAJ/P/2021/1423 (04/01/2021),View,RAJ_P_2021_1423 (04_01_2021)
Jaipur,Amulya,GROUP HOUSING,SPARKLER DEVELOPERS LLP,RAJ-RERA-APP-P-2020-2752,RAJ/P/2021/1425 (06/01/2021),View,RAJ_P_2021_1425 (06_01_2021)
Jaipur,RR HOMES KANAKPURA,PLOTTED,BHAGIRATH CHARAN,RAJ-RERA-APP-P-2020-2744,RAJ/P/2020/1410 (15/12/2020),View,RAJ_P_2020_1410 (15_12_2020)
Sri Ganganagar,MAYA HEIGHTS,Mixed (Residential And Commercial),MAYA HEIGHTS BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2020-2739,RAJ/P/2020/1415 (30/12/2020),View,RAJ_P_2020_1415 (30_12_2020)
Sri Ganganagar,DREAM CITY,PLOTTED,Dream City,RAJ-RERA-APP-P-2020-2722,RAJ/P/2021/1420 (01/01/2021),View,RAJ_P_2021_1420 (01_01_2021)
Udaipur,ABS SHARANYA VILLAS,GROUP HOUSING,BLUE BIRD PROJECTS PROPRIETOR KAPIL SURANA,RAJ-RERA-APP-P-2020-2714,RAJ/P/2020/1408 (15/12/2020),View,RAJ_P_2020_1408 (15_12_2020)
Kota,Royal Elina,GROUP HOUSING,Ocean Greenhouse Developers Private Limitedd,RAJ-RERA-APP-P-2020-2706,RAJ/P/2020/1406 (08/12/2020),View,RAJ_P_2020_1406 (08_12_2020)
Bharatpur,SPZ CHIEF MINISTER JAN AWAS YOJANA,GROUP HOUSING,URBAN IMPROVEMENT TRUST-BHARATPUR,RAJ-RERA-APP-P-2020-2708,RAJ/P/2021/1505 (20/03/2021),View,RAJ_P_2021_1505 (20_03_2021)
Bharatpur,S.P.M. Nagar Chief Minister Jan Awas Yojana,GROUP HOUSING,URBAN IMPROVEMENT TRUST-BHARATPUR,RAJ-RERA-APP-P-2020-2707,RAJ/P/2021/1504 (20/03/2021),View,RAJ_P_2021_1504 (20_03_2021)
Jaipur,Garden City D-Block,PLOTTED,SAMRIDHI BUILD ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2020-2695,RAJ/P/2020/1411 (20/12/2020),View,RAJ_P_2020_1411 (20_12_2020)
Jaipur,ABHIMANYU RESIDENCY,PLOTTED,GOKULKRIPA BUILDTECH PRIVATE LIMITED,RAJ-RERA-APP-P-2020-2691,RAJ/P/2020/1401 (26/11/2020),View,RAJ_P_2020_1401 (26_11_2020)
Jaipur,RAMAA ENCLAVE-1st,PLOTTED,KRISHNAA BALRAM RESIDENCY PRIVATE LIMITED,RAJ-RERA-APP-P-2020-2693,RAJ/P/2020/1404 (04/12/2020),View,RAJ_P_2020_1404 (04_12_2020)
Jaipur,ABHIMANYU RESIDENCY BLOCK-A,PLOTTED,KISAAN PRIME ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2020-2690,RAJ/P/2020/1403 (26/11/2020),View,RAJ_P_2020_1403 (26_11_2020)
Jaipur,Okay Plus Exotica Greens,PLOTTED,Okay Plus Builders LLP,RAJ-RERA-APP-P-2020-2677,RAJ/P/2020/1398 (24/11/2020),View,RAJ_P_2020_1398 (24_11_2020)
Jaipur,SHREE RADHA VILLA,PLOTTED,SHYAM LAL SAINI,RAJ-RERA-APP-P-2020-2676,RAJ/P/2020/1396 (20/11/2020),View,RAJ_P_2020_1396 (20_11_2020)
Jodhpur,ADITYA DWARKADISH CITY,PLOTTED,ADITYA BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2020-2674,RAJ/P/2020/1400 (26/11/2020),View,RAJ_P_2020_1400 (26_11_2020)
Jaipur,ROYAL COURT,PLOTTED,SHANKAR LAL,RAJ-RERA-APP-P-2020-2671,RAJ/P/2020/1412 (22/12/2020),View,RAJ_P_2020_1412 (22_12_2020)
